subject_name,course_name,course_url
Art & Design,Working with Motion & Time,/course/kadenze-working-with-motion-time-7618
Art & Design,Piano I: Introduction to the Piano & Staff,/course/kadenze-piano-i-introduction-to-the-piano-staff-7605
Art & Design,"Digital Drawings: Points, Lines, Curves",/course/kadenze-digital-drawings-points-lines-curves-8397
Art & Design,ความคิดสร้างสรรค์สำหรับการออกแบบสื่อเสียง|Creative Ideas for Audio Design,/course/thaimooc--------creative-ideas-for-audio-design-14943
Art & Design,บาติก 1 (BATIK 1),/course/thaimooc---1-batik-1-14970
Art & Design,ศิลปะอิสลาม (Islamic Art),/course/thaimooc----islamic-art-14971
Art & Design,เทคโนโลยีทางภาพถ่ายเพื่อสื่อสารการศึกษา|PHOTOGRAPHIC TECHNOLOGY FOR EDUCATIONAL COMMUNICATIONS,/course/thaimooc-------photographic-technology-for-educational-communications-14950
Art & Design,การออกแบบโมเดลและงานพิมพ์ 3D เพื่อการบริการชุมชน|3D Model design & printing for community service,/course/thaimooc---3d-----3d-model-design-printing-for-community-service-14951
Art & Design,Motion Design: Time and Technology,/course/kadenze-motion-design-time-and-technology-7593
Art & Design,Making Typeface Families,/course/kadenze-making-typeface-families-7615
Art & Design,Exploring the Mixed Reality Landscape,/course/kadenze-exploring-the-mixed-reality-landscape-7603
Art & Design,Designing Synthesizer Sounds,/course/kadenze-designing-synthesizer-sounds-9471
Art & Design,History of Chinese Costumes|中国服饰七千年,/course/edx-history-of-chinese-costumes--9974
Art & Design,"Digital Modeling: Volume, Surface, Space",/course/kadenze-digital-modeling-volume-surface-space-8401
Art & Design,Music Technology Foundations,/course/edx-music-technology-foundations-6104
Art & Design,Camera Essentials,/course/kadenze-camera-essentials-7606
Art & Design,Typography in Graphic Design,/course/kadenze-typography-in-graphic-design-7616
Art & Design,À la découverte du théâtre classique français – Tome 1,/course/edx-a-la-decouverte-du-theatre-classique-francais-tome-1-4365
Art & Design,Piano II: Focus on Reading,/course/kadenze-piano-ii-focus-on-reading-7612
Art & Design,Pattern Studying and Making|图案审美与创作,/course/edx-pattern-studying-and-making--10261
Art & Design, Creating and Capturing Mixed Reality,/course/kadenze-creating-and-capturing-mixed-reality-7607
