subject_name,course_name,course_url
Education & Teaching,When I Grow Up: Supporting Children’s Aspirations,/course/edx-when-i-grow-up-supporting-children-s-aspirations-17071
Education & Teaching,MOOC Former et développer les compétences,/course/france-universite-numerique-mooc-former-et-developper-les-competences-10981
Education & Teaching,Introduction aux STAPS,/course/france-universite-numerique-introduction-aux-staps-11028
Education & Teaching,Compassionate Leadership Through Service Learning with Jane Goodall and Roots & Shoots,/course/compassionate-leadership-jane-goodall-2101
Education & Teaching,Get Organized: How to be a Together Teacher,/course/togetherteacher-2113
Education & Teaching,K-12 Blended & Online Learning,/course/k-12-online-education-1531
Education & Teaching,Learning Online: Learning and Collaborating,/course/learning-and-collaborating-5015
Education & Teaching,Learning Online: Reflecting and Sharing,/course/reflecting-and-sharing-5017
Education & Teaching,Learning Online: Managing Your Identity,/course/online-identity-5018
Education & Teaching,El desafío de Innovar en la Educación Superior,/course/educacion-superior-5911
Education & Teaching,Aprenda a ensinar programação com o Programaê!,/course/programae-4470
Programming,Programming for Everybody (Getting Started with Python),/course/python-4319
Health & Medicine,Understanding Dementia,/course/independent-understanding-dementia-981
Mathematics,Introduction to Dynamical Systems and Chaos,/course/complexity-explorer-introduction-to-dynamical-systems-and-chaos-1182
Programming,Python Data Structures,/course/python-data-4174
Programming,An Introduction to Interactive Programming in Python (Part 1),/course/interactivepython1-408
Programming,Using Python to Access Web Data,/course/python-network-data-4343
Programming,Using Databases with Python,/course/python-databases-4272
Programming,Introduction to Programming with MATLAB,/course/matlab-3396
Programming,Learn to Program: The Fundamentals,/course/programming1-385
Programming,Computing in Python I: Fundamentals and Procedural Programming,/course/edx-computing-in-python-i-fundamentals-and-procedural-programming-11469
Programming,Functional Program Design in Scala,/course/progfun2-1186
Programming,Ruby on Rails: An Introduction,/course/ruby-on-rails-intro-4258
Programming,An Introduction to Interactive Programming in Python (Part 2),/course/interactivepython2-3196
Programming,Programming Mobile Applications for Android Handheld Systems: Part 1,/course/androidpart1-1178
Programming,Python and Statistics for Financial Analysis,/course/python-statistics-financial-analysis-12648
Programming,Intro to HTML and CSS,/course/udacity-intro-to-html-and-css-2659
Health & Medicine,Preventing Dementia,/course/independent-preventing-dementia-6565
Health & Medicine,Understanding Clinical Research: Behind the Statistics,/course/clinical-research-5037
Health & Medicine,Understanding Multiple Sclerosis (MS),/course/independent-understanding-multiple-sclerosis-ms-13338
Health & Medicine,The Musculoskeletal System: The Science of Staying Active into Old Age,/course/musculoskeletal-6738
Health & Medicine,Vital Signs: Understanding What the Body Is Telling Us,/course/vitalsigns-1887
Health & Medicine,Discover Dentistry,/course/discover-dentistry-1249
Health & Medicine,Food as Medicine,/course/food-as-medicine-5742
Health & Medicine,Stanford Introduction to Food and Health,/course/food-and-health-5057
Health & Medicine,Young People and Their Mental Health,/course/young-people-mental-health-9491
Health & Medicine,Child Nutrition and Cooking,/course/childnutrition-816
Health & Medicine,The Addicted Brain,/course/addictedbrain-1403
Health & Medicine,"Viruses & How to Beat Them: Cells, Immunity, Vaccines",/course/edx-viruses-how-to-beat-them-cells-immunity-vaccines-9364
Health & Medicine,FlashDiet: Aprende a comer sano,/course/edx-flashdiet-aprende-a-comer-sano-8631
